time, Quad.Est.E.Pos, Quad.Est.S.Z
2.964967,0.093623,0.350771
2.969967,0.108545,0.350900
2.974967,0.132233,0.351098
2.979966,0.148727,0.351233
2.984966,0.174366,0.351441
2.989966,0.191963,0.351582
2.994965,0.219067,0.351799
2.999965,0.237637,0.351947
3.004965,0.115799,0.350669
3.009964,0.107405,0.350767
3.014964,0.096293,0.350917
3.019964,0.090283,0.351020
3.024963,0.084686,0.351177
3.029963,0.083716,0.351284
3.034962,0.086797,0.351448
3.039962,0.091945,0.351560
3.044962,0.103711,0.351732
3.049961,0.113791,0.351849
3.054961,0.131516,0.352029
3.059961,0.144675,0.352152
3.064960,0.166125,0.352340
3.069960,0.181375,0.352469
3.074960,0.205381,0.352666
3.079959,0.222101,0.352800
3.084959,0.248079,0.353007
3.089958,0.266037,0.353147
